date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-07,20220707103000000,sh.600000,7.9100,7.9200,7.9000,7.9000,216050,1708268.0000,3
2022-07-07,20220707103500000,sh.600000,7.9100,7.9100,7.9000,7.9000,101474,801780.0000,3
2022-07-07,20220707104000000,sh.600000,7.9000,7.9100,7.9000,7.9100,113400,896483.0000,3
2022-07-07,20220707104500000,sh.600000,7.9000,7.9100,7.9000,7.9100,266589,2106814.0000,3
2022-07-07,20220707105000000,sh.600000,7.9100,7.9100,7.9000,7.9100,216974,1714363.0000,3
2022-07-07,20220707105500000,sh.600000,7.9100,7.9100,7.8900,7.8900,211726,1672549.0000,3
2022-07-07,20220707110000000,sh.600000,7.9000,7.9100,7.8900,7.9000,206730,1633236.0000,3
2022-07-07,20220707110500000,sh.600000,7.9000,7.9100,7.8900,7.9000,211800,1673659.0000,3
2022-07-07,20220707111000000,sh.600000,7.9000,7.9100,7.8900,7.9000,163500,1291717.0000,3
2022-07-07,20220707111500000,sh.600000,7.9000,7.9000,7.8900,7.9000,118400,935101.0000,3
2022-07-07,20220707112000000,sh.600000,7.9000,7.9000,7.8900,7.8900,66400,524198.0000,3
2022-07-07,20220707112500000,sh.600000,7.8900,7.9100,7.8900,7.9000,203500,1607659.0000,3
2022-07-07,20220707113000000,sh.600000,7.9000,7.9100,7.9000,7.9000,154636,1221979.0000,3
2022-07-07,20220707130500000,sh.600000,7.9000,7.9100,7.9000,7.9000,497972,3935573.0000,3
2022-07-07,20220707131000000,sh.600000,7.9000,7.9100,7.9000,7.9000,187900,1484629.0000,3
2022-07-07,20220707131500000,sh.600000,7.9000,7.9100,7.9000,7.9000,350300,2767837.0000,3
2022-07-07,20220707132000000,sh.600000,7.9000,7.9100,7.9000,7.9000,302400,2389355.0000,3
2022-07-07,20220707132500000,sh.600000,7.9000,7.9100,7.9000,7.9000,102900,813061.0000,3
2022-07-07,20220707133000000,sh.600000,7.9000,7.9100,7.9000,7.9000,139300,1100792.0000,3
2022-07-07,20220707133500000,sh.600000,7.9100,7.9100,7.9000,7.9000,84700,669459.0000,3
2022-07-07,20220707134000000,sh.600000,7.9000,7.9100,7.8900,7.8900,322500,2546096.0000,3
2022-07-07,20220707134500000,sh.600000,7.8900,7.9000,7.8800,7.8900,1494270,11783633.0000,3
2022-07-07,20220707135000000,sh.600000,7.8900,7.8900,7.8800,7.8800,122300,964408.0000,3
2022-07-07,20220707135500000,sh.600000,7.8900,7.8900,7.8800,7.8900,147700,1164812.0000,3
2022-07-07,20220707140000000,sh.600000,7.8900,7.8900,7.8800,7.8800,170400,1343850.0000,3
2022-07-07,20220707140500000,sh.600000,7.8800,7.9000,7.8700,7.8800,1346994,10616811.0000,3
2022-07-07,20220707141000000,sh.600000,7.8700,7.8800,7.8600,7.8800,1317000,10367524.0000,3
2022-07-07,20220707141500000,sh.600000,7.8800,7.8800,7.8700,7.8800,417574,3286755.0000,3
2022-07-07,20220707142000000,sh.600000,7.8700,7.8800,7.8700,7.8800,323900,2551208.0000,3
2022-07-07,20220707142500000,sh.600000,7.8800,7.8800,7.8700,7.8800,228600,1800931.0000,3
2022-07-07,20220707143000000,sh.600000,7.8700,7.8800,7.8700,7.8800,92700,730160.0000,3
2022-07-07,20220707143500000,sh.600000,7.8800,7.8800,7.8700,7.8800,307443,2422060.0000,3
2022-07-07,20220707144000000,sh.600000,7.8800,7.8900,7.8700,7.8900,609600,4802406.0000,3
2022-07-07,20220707144500000,sh.600000,7.8800,7.8900,7.8700,7.8800,310086,2442764.0000,3
2022-07-07,20220707145000000,sh.600000,7.8800,7.8900,7.8700,7.8900,362549,2856564.0000,3
2022-07-07,20220707145500000,sh.600000,7.8800,7.8900,7.8700,7.8800,825300,6501894.0000,3
2022-07-07,20220707150000000,sh.600000,7.8700,7.8800,7.8700,7.8700,925780,7288454.0000,3
